Week,AwayTeamName,HomeTeamName,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,TeamsConcatenated,ConferenceConcatenated
2,Western Michigan Broncos,Syracuse Orange,-36.1,83.9,2023-09-12T19:30:00,False,Western Michigan Broncos vs Syracuse Orange,Mid-American - West vs Atlantic Coast
2,Cincinnati Bearcats,Pittsburgh Panthers,-9.6,65.5,2023-09-12T22:30:00,False,Cincinnati Bearcats vs Pittsburgh Panthers,Big 12 vs Atlantic Coast
2,Charleston Southern Buccaneers,Clemson Tigers,-76.5,83.2,2023-09-12T18:15:00,False,Charleston Southern Buccaneers vs Clemson Tigers,Unknown vs Atlantic Coast
2,James Madison Dukes,Virginia Cavaliers,14.1,58.9,2023-09-12T16:00:00,False,James Madison Dukes vs Virginia Cavaliers,Sun Belt - East vs Atlantic Coast
2,Southern Miss Golden Eagles,Florida State Seminoles,-45.6,80.2,2023-09-13T00:30:00,False,Southern Miss Golden Eagles vs Florida State Seminoles,Sun Belt - West vs Atlantic Coast
2,South Carolina State Bulldogs,Georgia Tech Yellow Jackets,-64.8,78.8,2023-09-12T17:00:00,False,South Carolina State Bulldogs vs Georgia Tech Yellow Jackets,Unknown vs Atlantic Coast
2,Murray State Racers,Louisville Cardinals,-64.8,81.7,2023-09-10T23:30:00,False,Murray State Racers vs Louisville Cardinals,Unknown vs Atlantic Coast
2,SMU Mustangs,Oklahoma Sooners,-24.3,102.3,2023-09-12T22:00:00,False,SMU Mustangs vs Oklahoma Sooners,American Athletic vs Big 12
2,Troy Trojans,Kansas State Wildcats,-22.1,72.9,2023-09-12T16:00:00,False,Troy Trojans vs Kansas State Wildcats,Sun Belt - West vs Big 12
2,Houston Cougars,Rice Owls,10.3,75.1,2023-09-12T23:00:00,False,Houston Cougars vs Rice Owls,Big 12 vs American Athletic
2,Southern Utah Thunderbirds,BYU Cougars,-45.6,69.2,2023-09-12T19:00:00,False,Southern Utah Thunderbirds vs BYU Cougars,Unknown vs Big 12
2,Nicholls Colonels,TCU Horned Frogs,-61.1,87.6,2023-09-13T00:00:00,False,Nicholls Colonels vs TCU Horned Frogs,Unknown vs Big 12
2,Duquesne Dukes,West Virginia Mountaineers,-58.1,81.7,2023-09-12T22:00:00,False,Duquesne Dukes vs West Virginia Mountaineers,Unknown vs Big 12
2,UCF Knights,Boise State Broncos,6.5,86.1,2023-09-12T23:00:00,False,UCF Knights vs Boise State Broncos,Big 12 vs Mountain West
2,Miami (OH) RedHawks,UMass Minutemen,10.3,64.8,2023-09-12T19:30:00,False,Miami (OH) RedHawks vs UMass Minutemen,Mid-American - East vs FBS Independents
2,Marshall Thundering Herd,East Carolina Pirates,6.5,64.0,2023-09-12T20:00:00,False,Marshall Thundering Herd vs East Carolina Pirates,Sun Belt - East vs American Athletic
2,Memphis Tigers,Arkansas State Red Wolves,30.9,84.6,2023-09-12T23:00:00,False,Memphis Tigers vs Arkansas State Red Wolves,American Athletic vs Sun Belt - West
2,Ohio Bobcats,Florida Atlantic Owls,-5.2,90.5,2023-09-12T22:00:00,False,Ohio Bobcats vs Florida Atlantic Owls,Mid-American - East vs American Athletic
2,Wagner Seahawks,Navy Midshipmen,-61.8,72.1,2023-09-12T19:30:00,False,Wagner Seahawks vs Navy Midshipmen,Unknown vs American Athletic
2,Texas State Bobcats,UTSA Roadrunners,-20.6,97.9,2023-09-12T19:30:00,False,Texas State Bobcats vs UTSA Roadrunners,Sun Belt - West vs American Athletic
2,UAB Blazers,Georgia Southern Eagles,-10.3,92.7,2023-09-12T22:00:00,False,UAB Blazers vs Georgia Southern Eagles,American Athletic vs Sun Belt - East
2,Florida A&M Rattlers,South Florida Bulls,-29.4,93.5,2023-09-12T23:00:00,False,Florida A&M Rattlers vs South Florida Bulls,Unknown vs American Athletic
2,Lamar Cardinals,UL Monroe Warhawks,-36.8,71.4,2023-09-13T00:00:00,False,Lamar Cardinals vs UL Monroe Warhawks,Unknown vs Sun Belt - West
2,Louisiana Ragin Cajuns,Old Dominion Monarchs,13.0,75.8,2023-09-12T22:00:00,False,Louisiana Ragin Cajuns vs Old Dominion Monarchs,Sun Belt - West vs Sun Belt - East
2,SE Louisiana Lions,South Alabama Jaguars,-33.9,86.8,2023-09-12T21:00:00,False,SE Louisiana Lions vs South Alabama Jaguars,Unknown vs Sun Belt - West
2,Eastern Illinois Panthers,Bowling Green Falcons,-25.0,71.4,2023-09-12T18:00:00,False,Eastern Illinois Panthers vs Bowling Green Falcons,Unknown vs Mid-American - East
2,Morgan State Bears,Akron Zips,-36.8,67.7,2023-09-12T22:00:00,False,Morgan State Bears vs Akron Zips,Unknown vs Mid-American - East
2,Fordham Rams,Buffalo Bulls,-33.9,82.4,2023-09-12T22:00:00,False,Fordham Rams vs Buffalo Bulls,Unknown vs Mid-American - East
2,New Hampshire Wildcats,Central Michigan Chippewas,-10.3,70.7,2023-09-12T17:30:00,False,New Hampshire Wildcats vs Central Michigan Chippewas,Unknown vs Mid-American - West
2,Southern Illinois Salukis,Northern Illinois Huskies,-12.5,86.8,2023-09-12T19:30:00,False,Southern Illinois Salukis vs Northern Illinois Huskies,Unknown vs Mid-American - West
2,Texas Southern Tigers,Toledo Rockets,-60.4,92.7,2023-09-12T19:30:00,False,Texas Southern Tigers vs Toledo Rockets,Unknown vs Mid-American - West
2,Tennessee Tech Golden Eagles,New Mexico Lobos,-25.8,75.8,2023-09-13T00:00:00,False,Tennessee Tech Golden Eagles vs New Mexico Lobos,Unknown vs Mountain West
2,Cal Poly Mustangs,San Jose State Spartans,-35.3,89.1,2023-09-12T20:00:00,False,Cal Poly Mustangs vs San Jose State Spartans,Unknown vs Mountain West
2,Idaho Vandals,Nevada Wolf Pack,10.8,75.1,2023-09-12T23:00:00,False,Idaho Vandals vs Nevada Wolf Pack,Unknown vs Mountain West
2,Portland State Vikings,Wyoming Cowboys,-42.0,75.8,2023-09-12T20:00:00,False,Portland State Vikings vs Wyoming Cowboys,Unknown vs Mountain West
2,Eastern Washington Eagles,Fresno State Bulldogs,-43.4,93.5,2023-09-13T01:00:00,False,Eastern Washington Eagles vs Fresno State Bulldogs,Unknown vs Mountain West
2,Idaho State Bengals,Utah State Aggies,-35.3,89.8,2023-09-13T00:00:00,False,Idaho State Bengals vs Utah State Aggies,Unknown vs Mountain West
2,Albany Great Danes,Hawaii Rainbow Warriors,-14.0,86.1,2023-09-13T03:59:00,False,Albany Great Danes vs Hawaii Rainbow Warriors,Unknown vs Mountain West
3,UTEP Miners,Arizona Wildcats,-13.6,43.5,2023-09-15T03:00:00,False,UTEP Miners vs Arizona Wildcats,Conference USA vs Pac-12
3,Virginia Cavaliers,Maryland Terrapins,-12.5,36.7,2023-09-13T23:00:00,False,Virginia Cavaliers vs Maryland Terrapins,Atlantic Coast vs Big Ten - East
3,Washington Huskies,Michigan State Spartans,11.7,42.7,2023-09-14T21:00:00,False,Washington Huskies vs Michigan State Spartans,Pac-12 vs Big Ten - East
3,Bowling Green Falcons,Michigan Wolverines,-30.6,40.4,2023-09-14T23:30:00,False,Bowling Green Falcons vs Michigan Wolverines,Mid-American - East vs Big Ten - East
3,Kansas State Wildcats,Missouri Tigers,2.0,37.4,2023-09-14T16:00:00,False,Kansas State Wildcats vs Missouri Tigers,Big 12 vs SEC - East
3,Georgia Tech Yellow Jackets,Ole Miss Rebels,-12.9,46.5,2023-09-14T23:30:00,False,Georgia Tech Yellow Jackets vs Ole Miss Rebels,Atlantic Coast vs SEC - West
3,Northwestern Wildcats,Duke Blue Devils,-12.9,36.3,2023-09-14T19:30:00,False,Northwestern Wildcats vs Duke Blue Devils,Big Ten - West vs Atlantic Coast
3,Minnesota Golden Gophers,North Carolina Tar Heels,-5.3,39.7,2023-09-14T19:30:00,False,Minnesota Golden Gophers vs North Carolina Tar Heels,Big Ten - West vs Atlantic Coast
3,Northern Illinois Huskies,Nebraska Cornhuskers,-9.4,32.1,2023-09-14T23:00:00,False,Northern Illinois Huskies vs Nebraska Cornhuskers,Mid-American - West vs Big Ten - West
3,Virginia Tech Hokies,Rutgers Scarlet Knights,-4.9,28.4,2023-09-14T19:30:00,False,Virginia Tech Hokies vs Rutgers Scarlet Knights,Atlantic Coast vs Big Ten - East
3,New Mexico State Aggies,New Mexico Lobos,-2.3,38.6,2023-09-15T00:00:00,False,New Mexico State Aggies vs New Mexico Lobos,Conference USA vs Mountain West
3,Western Kentucky Hilltoppers,Ohio State Buckeyes,-22.3,49.1,2023-09-14T20:00:00,False,Western Kentucky Hilltoppers vs Ohio State Buckeyes,Conference USA vs Big Ten - East
3,Samford Bulldogs,Auburn Tigers,-28.7,46.1,2023-09-14T23:00:00,False,Samford Bulldogs vs Auburn Tigers,Unknown vs SEC - West
3,Liberty Flames,Buffalo Bulls,1.7,40.8,2023-09-14T16:00:00,False,Liberty Flames vs Buffalo Bulls,Conference USA vs Mid-American - East
3,Western Michigan Broncos,Iowa Hawkeyes,-21.5,32.5,2023-09-14T19:30:00,False,Western Michigan Broncos vs Iowa Hawkeyes,Mid-American - West vs Big Ten - West
3,North Texas Mean Green,Louisiana Tech Bulldogs,-3.4,50.7,2023-09-14T23:00:00,False,North Texas Mean Green vs Louisiana Tech Bulldogs,American Athletic vs Conference USA
3,Murray State Racers,Middle Tennessee Blue Raiders,-25.3,38.2,2023-09-14T23:00:00,False,Murray State Racers vs Middle Tennessee Blue Raiders,Unknown vs Conference USA
3,Vanderbilt Commodores,UNLV Rebels,2.6,42.7,2023-09-14T23:00:00,False,Vanderbilt Commodores vs UNLV Rebels,SEC - East vs Mountain West
