Week,AwayTeamName,AwayTeamID,HomeTeamName,HomeTeamID,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,Conference_away,Conference_home,TeamsConcatenated
6,Boston College Eagles,35,Army Black Knights,263,,,2023-10-09T16:00:00,False,Atlantic Coast,FBS Independents,Boston College Eagles vs Army Black Knights
6,Nebraska Cornhuskers,99,Illinois Fighting Illini,102,,,2023-10-09T00:00:00,False,Big Ten - West,Big Ten - West,Nebraska Cornhuskers vs Illinois Fighting Illini
6,Vanderbilt Commodores,273,Florida Gators,271,,,,False,SEC - East,SEC - East,Vanderbilt Commodores vs Florida Gators
6,Kentucky Wildcats,268,Georgia Bulldogs,272,-32.1,,,False,SEC - East,SEC - East,Kentucky Wildcats vs Georgia Bulldogs
6,Howard Bison,195,Northwestern Wildcats,100,,,2023-10-09T19:00:00,False,,Big Ten - West,Howard Bison vs Northwestern Wildcats
6,Oregon State Beavers,252,California Golden Bears,251,,,,False,Pac-12,Pac-12,Oregon State Beavers vs California Golden Bears
6,Washington State Cougars,256,UCLA Bruins,253,,,,False,Pac-12,Pac-12,Washington State Cougars vs UCLA Bruins
6,Arizona Wildcats,247,USC Trojans,246,,,,False,Pac-12,Pac-12,Arizona Wildcats vs USC Trojans
6,Colorado Buffaloes,250,Arizona State Sun Devils,255,,,,False,Pac-12,Pac-12,Colorado Buffaloes vs Arizona State Sun Devils
6,Notre Dame Fighting Irish,25,Louisville Cardinals,24,,,,False,FBS Independents,Atlantic Coast,Notre Dame Fighting Irish vs Louisville Cardinals
6,Marshall Thundering Herd,136,NC State Wolfpack,33,,,,False,Sun Belt - East,Atlantic Coast,Marshall Thundering Herd vs NC State Wolfpack
6,Syracuse Orange,30,North Carolina Tar Heels,21,,,,False,Atlantic Coast,Atlantic Coast,Syracuse Orange vs North Carolina Tar Heels
6,Wake Forest Demon Deacons,34,Clemson Tigers,27,,,,False,Atlantic Coast,Atlantic Coast,Wake Forest Demon Deacons vs Clemson Tigers
6,Georgia Tech Yellow Jackets,32,Miami Hurricanes,23,,,,False,Atlantic Coast,Atlantic Coast,Georgia Tech Yellow Jackets vs Miami Hurricanes
6,William & Mary Tribe,125,Virginia Cavaliers,22,,,,False,,Atlantic Coast,William & Mary Tribe vs Virginia Cavaliers
6,Virginia Tech Hokies,31,Florida State Seminoles,29,,,,False,Atlantic Coast,Atlantic Coast,Virginia Tech Hokies vs Florida State Seminoles
6,Kansas State Wildcats,112,Oklahoma State Cowboys,113,,,2023-10-08T23:30:00,False,Big 12,Big 12,Kansas State Wildcats vs Oklahoma State Cowboys
6,Texas Longhorns,109,Oklahoma Sooners,105,12.5,,,True,Big 12,Big 12,Texas Longhorns vs Oklahoma Sooners
6,UCF Knights,8,Kansas Jayhawks,106,,,,False,Big 12,Big 12,UCF Knights vs Kansas Jayhawks
6,Texas Tech Red Raiders,111,Baylor Bears,108,,,,False,Big 12,Big 12,Texas Tech Red Raiders vs Baylor Bears
6,TCU Horned Frogs,114,Iowa State Cyclones,110,,,,False,Big 12,Big 12,TCU Horned Frogs vs Iowa State Cyclones
6,Toledo Rockets,183,UMass Minutemen,55,,,,False,Mid-American - West,FBS Independents,Toledo Rockets vs UMass Minutemen
6,UTSA Roadrunners,147,Temple Owls,2,,,,False,American Athletic,American Athletic,UTSA Roadrunners vs Temple Owls
6,Tulsa Golden Hurricane,5,Florida Atlantic Owls,145,,,,False,American Athletic,American Athletic,Tulsa Golden Hurricane vs Florida Atlantic Owls
6,North Texas Mean Green,141,Navy Midshipmen,258,,,2023-10-09T19:30:00,False,American Athletic,American Athletic,North Texas Mean Green vs Navy Midshipmen
6,South Florida Bulls,11,UAB Blazers,134,,,,False,American Athletic,American Athletic,South Florida Bulls vs UAB Blazers
6,South Alabama Jaguars,330,UL Monroe Warhawks,326,,,,False,Sun Belt - West,Sun Belt - West,South Alabama Jaguars vs UL Monroe Warhawks
6,Old Dominion Monarchs,138,Southern Miss Golden Eagles,143,,,,False,Sun Belt - East,Sun Belt - West,Old Dominion Monarchs vs Southern Miss Golden Eagles
6,Arkansas State Red Wolves,327,Troy Trojans,333,,,,False,Sun Belt - West,Sun Belt - West,Arkansas State Red Wolves vs Troy Trojans
6,Texas State Bobcats,332,Louisiana Ragin Cajuns,324,,,,False,Sun Belt - West,Sun Belt - West,Texas State Bobcats vs Louisiana Ragin Cajuns
6,Bowling Green Falcons,181,Miami (OH) RedHawks,182,,,2023-10-09T19:30:00,False,Mid-American - East,Mid-American - East,Bowling Green Falcons vs Miami (OH) RedHawks
6,Kent State Golden Flashes,178,Ohio Bobcats,180,,,2023-10-09T19:30:00,False,Mid-American - East,Mid-American - East,Kent State Golden Flashes vs Ohio Bobcats
6,Northern Illinois Huskies,186,Akron Zips,177,,,2023-10-09T19:30:00,False,Mid-American - West,Mid-American - East,Northern Illinois Huskies vs Akron Zips
6,Central Michigan Chippewas,185,Buffalo Bulls,179,,,,False,Mid-American - West,Mid-American - East,Central Michigan Chippewas vs Buffalo Bulls
6,Ball State Cardinals,184,Eastern Michigan Eagles,187,,,,False,Mid-American - West,Mid-American - West,Ball State Cardinals vs Eastern Michigan Eagles
6,Fresno State Bulldogs,213,Wyoming Cowboys,219,,,,False,Mountain West,Mountain West,Fresno State Bulldogs vs Wyoming Cowboys
6,Colorado State Rams,217,Utah State Aggies,220,,,,False,Mountain West,Mountain West,Colorado State Rams vs Utah State Aggies
6,San Jose State Spartans,222,Boise State Broncos,215,,,2023-10-10T00:00:00,False,Mountain West,Mountain West,San Jose State Spartans vs Boise State Broncos
7,Illinois Fighting Illini,102,Maryland Terrapins,92,,,,False,Big Ten - West,Big Ten - East,Illinois Fighting Illini vs Maryland Terrapins
7,Indiana Hoosiers,93,Michigan Wolverines,95,,,,False,Big Ten - East,Big Ten - East,Indiana Hoosiers vs Michigan Wolverines
7,Michigan State Spartans,97,Rutgers Scarlet Knights,103,,,2023-10-11T16:00:00,False,Big Ten - East,Big Ten - East,Michigan State Spartans vs Rutgers Scarlet Knights
7,Sam Houston Bearkats,295,New Mexico State Aggies,344,,,2023-10-09T01:00:00,False,Conference USA,Conference USA,Sam Houston Bearkats vs New Mexico State Aggies
7,UMass Minutemen,55,Penn State Nittany Lions,101,,,2023-10-11T19:30:00,False,FBS Independents,Big Ten - East,UMass Minutemen vs Penn State Nittany Lions
