Week,AwayTeamName,HomeTeamName,PointSpread,OverUnder,DateTime,NeutralVenue,Conference_away,Conference_home
2,Richmond Spiders,Michigan State Spartans,-42.7,64.0,2023-09-09T15:30:00,False,,Big Ten - East
2,UNLV Rebels,Michigan Wolverines,-55.2,84.6,2023-09-09T15:30:00,False,Mountain West,Big Ten - East
2,Illinois Fighting Illini,Kansas Jayhawks,-5.2,83.9,2023-09-08T19:30:00,False,Big Ten - West,Big 12
2,Texas A&M Aggies,Miami Hurricanes,5.4,74.3,2023-09-09T15:30:00,False,SEC - West,Atlantic Coast
2,Purdue Boilermakers,Virginia Tech Hokies,0.0,72.1,2023-09-09T12:00:00,False,Big Ten - West,Atlantic Coast
2,Wisconsin Badgers,Washington State Cougars,11.9,85.4,2023-09-09T19:30:00,False,Big Ten - West,Pac-12
2,Ole Miss Rebels,Tulane Green Wave,19.1,92.0,2023-09-09T15:30:00,False,SEC - West,American Athletic
2,Texas Longhorns,Alabama Crimson Tide,-11.0,78.8,2023-09-09T19:00:00,False,Big 12,SEC - West
2,Nebraska Cornhuskers,Colorado Buffaloes,-4.4,83.2,2023-09-09T12:00:00,False,Big Ten - West,Pac-12
2,Iowa Hawkeyes,Iowa State Cyclones,7.6,52.3,2023-09-09T15:30:00,False,Big Ten - West,Big 12
2,Utah Utes,Baylor Bears,11.0,66.2,2023-09-09T12:00:00,False,Pac-12,Big 12
2,Oregon Ducks,Texas Tech Red Raiders,9.8,101.6,2023-09-09T19:00:00,False,Pac-12,Big 12
