Week,AwayTeamName,AwayTeamID,HomeTeamName,HomeTeamID,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,Conference_away,Conference_home,TeamsConcatenated,ConferenceConcatenated
10,Ball State Cardinals,184,Bowling Green Falcons,181,,,,FALSE,Mid-American - West,Mid-American - East,Ball State Cardinals vs Bowling Green Falcons,Mid-American - West vs Mid-American - East
10,Kent State Golden Flashes,178,Akron Zips,177,,,,FALSE,Mid-American - East,Mid-American - East,Kent State Golden Flashes vs Akron Zips,Mid-American - East vs Mid-American - East
10,Northern Illinois Huskies,186,Central Michigan Chippewas,185,,,,FALSE,Mid-American - West,Mid-American - West,Northern Illinois Huskies vs Central Michigan Chippewas,Mid-American - West vs Mid-American - West
10,Buffalo Bulls,179,Toledo Rockets,183,,,,FALSE,Mid-American - East,Mid-American - West,Buffalo Bulls vs Toledo Rockets,Mid-American - East vs Mid-American - West
10,UNLV Rebels,218,New Mexico Lobos,214,,,2023-11-02T22:00:00,FALSE,Mountain West,Mountain West,UNLV Rebels vs New Mexico Lobos,Mountain West vs Mountain West
10,Utah State Aggies,220,San Diego State Aztecs,212,,,,FALSE,Mountain West,Mountain West,Utah State Aggies vs San Diego State Aztecs,Mountain West vs Mountain West
10,Hawaii Rainbow Warriors,115,Nevada Wolf Pack,216,,,2023-11-02T20:00:00,FALSE,Mountain West,Mountain West,Hawaii Rainbow Warriors vs Nevada Wolf Pack,Mountain West vs Mountain West
10,Colorado State Rams,217,Wyoming Cowboys,219,,,2023-11-02T00:00:00,FALSE,Mountain West,Mountain West,Colorado State Rams vs Wyoming Cowboys,Mountain West vs Mountain West
10,Boise State Broncos,215,Fresno State Bulldogs,213,,,2023-11-03T02:00:00,FALSE,Mountain West,Mountain West,Boise State Broncos vs Fresno State Bulldogs,Mountain West vs Mountain West
10,Kennesaw State Owls,42,Sam Houston Bearkats,295,,,2023-11-02T17:00:00,FALSE,,Conference USA,Kennesaw State Owls vs Sam Houston Bearkats,Unknown
11,Tennessee Volunteers,277,Missouri Tigers,280,,,,FALSE,SEC - East,SEC - East,Tennessee Volunteers vs Missouri Tigers,SEC - East vs SEC - East
11,Maryland Terrapins,92,Nebraska Cornhuskers,99,,,,FALSE,Big Ten - East,Big Ten - West,Maryland Terrapins vs Nebraska Cornhuskers,Big Ten - East vs Big Ten - West
11,Michigan State Spartans,97,Ohio State Buckeyes,98,,,2023-11-07T00:30:00,FALSE,Big Ten - East,Big Ten - East,Michigan State Spartans vs Ohio State Buckeyes,Big Ten - East vs Big Ten - East
11,Michigan Wolverines,95,Penn State Nittany Lions,101,,,2023-11-06T17:00:00,FALSE,Big Ten - East,Big Ten - East,Michigan Wolverines vs Penn State Nittany Lions,Big Ten - East vs Big Ten - East
11,Rutgers Scarlet Knights,103,Iowa Hawkeyes,91,,,,FALSE,Big Ten - East,Big Ten - West,Rutgers Scarlet Knights vs Iowa Hawkeyes,Big Ten - East vs Big Ten - West
11,Old Dominion Monarchs,138,Liberty Flames,84,,,2023-11-06T18:00:00,FALSE,Sun Belt - East,Conference USA,Old Dominion Monarchs vs Liberty Flames,Sun Belt - East vs Conference USA
11,Sam Houston Bearkats,295,Louisiana Tech Bulldogs,137,,,2023-11-06T20:00:00,FALSE,Conference USA,Conference USA,Sam Houston Bearkats vs Louisiana Tech Bulldogs,Conference USA vs Conference USA
11,Florida International Panthers,140,Middle Tennessee Blue Raiders,135,,,2023-11-06T20:30:00,FALSE,Conference USA,Conference USA,Florida International Panthers vs Middle Tennessee Blue Raiders,Conference USA vs Conference USA
11,Mississippi State Bulldogs,278,Texas A&M Aggies,270,,,,FALSE,SEC - West,SEC - West,Mississippi State Bulldogs vs Texas A&M Aggies,SEC - West vs SEC - West
11,Minnesota Golden Gophers,104,Purdue Boilermakers,94,,,,FALSE,Big Ten - West,Big Ten - West,Minnesota Golden Gophers vs Purdue Boilermakers,Big Ten - West vs Big Ten - West
11,UConn Huskies,3,James Madison Dukes,126,,,,FALSE,FBS Independents,Sun Belt - East,UConn Huskies vs James Madison Dukes,FBS Independents vs Sun Belt - East
11,Vanderbilt Commodores,273,South Carolina Gamecocks,267,,,,FALSE,SEC - East,SEC - East,Vanderbilt Commodores vs South Carolina Gamecocks,SEC - East vs SEC - East
11,Northwestern Wildcats,100,Wisconsin Badgers,96,,,,FALSE,Big Ten - West,Big Ten - West,Northwestern Wildcats vs Wisconsin Badgers,Big Ten - West vs Big Ten - West
11,Holy Cross Crusaders,264,Army Black Knights,263,,,2023-11-06T17:00:00,FALSE,,FBS Independents,Holy Cross Crusaders vs Army Black Knights,Unknown
11,Indiana Hoosiers,93,Illinois Fighting Illini,102,,,,FALSE,Big Ten - East,Big Ten - West,Indiana Hoosiers vs Illinois Fighting Illini,Big Ten - East vs Big Ten - West
11,Ole Miss Rebels,274,Georgia Bulldogs,272,,,,FALSE,SEC - West,SEC - East,Ole Miss Rebels vs Georgia Bulldogs,SEC - West vs SEC - East
11,Auburn Tigers,279,Arkansas Razorbacks,276,,,,FALSE,SEC - West,SEC - West,Auburn Tigers vs Arkansas Razorbacks,SEC - West vs SEC - West
11,Alabama Crimson Tide,275,Kentucky Wildcats,268,,,,FALSE,SEC - West,SEC - East,Alabama Crimson Tide vs Kentucky Wildcats,SEC - West vs SEC - East
11,New Mexico State Aggies,344,Western Kentucky Hilltoppers,144,,,2023-11-06T20:30:00,FALSE,Conference USA,Conference USA,New Mexico State Aggies vs Western Kentucky Hilltoppers,Conference USA vs Conference USA
11,Florida Gators,271,LSU Tigers,269,,,,FALSE,SEC - East,SEC - West,Florida Gators vs LSU Tigers,SEC - East vs SEC - West
11,Stanford Cardinal,254,Oregon State Beavers,252,,,,FALSE,Pac-12,Pac-12,Stanford Cardinal vs Oregon State Beavers,Pac-12 vs Pac-12
11,USC Trojans,246,Oregon Ducks,245,,,,FALSE,Pac-12,Pac-12,USC Trojans vs Oregon Ducks,Pac-12 vs Pac-12
11,Washington State Cougars,256,California Golden Bears,251,,,,FALSE,Pac-12,Pac-12,Washington State Cougars vs California Golden Bears,Pac-12 vs Pac-12
11,Arizona State Sun Devils,255,UCLA Bruins,253,,,,FALSE,Pac-12,Pac-12,Arizona State Sun Devils vs UCLA Bruins,Pac-12 vs Pac-12
11,Utah Utes,248,Washington Huskies,249,,,,FALSE,Pac-12,Pac-12,Utah Utes vs Washington Huskies,Pac-12 vs Pac-12
11,Arizona Wildcats,247,Colorado Buffaloes,250,,,,FALSE,Pac-12,Pac-12,Arizona Wildcats vs Colorado Buffaloes,Pac-12 vs Pac-12
11,Virginia Tech Hokies,31,Boston College Eagles,35,,,,FALSE,Atlantic Coast,Atlantic Coast,Virginia Tech Hokies vs Boston College Eagles,Atlantic Coast vs Atlantic Coast
11,Duke Blue Devils,26,North Carolina Tar Heels,21,,,,FALSE,Atlantic Coast,Atlantic Coast,Duke Blue Devils vs North Carolina Tar Heels,Atlantic Coast vs Atlantic Coast
11,NC State Wolfpack,33,Wake Forest Demon Deacons,34,,,,FALSE,Atlantic Coast,Atlantic Coast,NC State Wolfpack vs Wake Forest Demon Deacons,Atlantic Coast vs Atlantic Coast
11,Pittsburgh Panthers,28,Syracuse Orange,30,,,2023-11-06T20:30:00,TRUE,Atlantic Coast,Atlantic Coast,Pittsburgh Panthers vs Syracuse Orange,Atlantic Coast vs Atlantic Coast
11,Georgia Tech Yellow Jackets,32,Clemson Tigers,27,,,,FALSE,Atlantic Coast,Atlantic Coast,Georgia Tech Yellow Jackets vs Clemson Tigers,Atlantic Coast vs Atlantic Coast
11,Miami Hurricanes,23,Florida State Seminoles,29,,,,FALSE,Atlantic Coast,Atlantic Coast,Miami Hurricanes vs Florida State Seminoles,Atlantic Coast vs Atlantic Coast
11,Virginia Cavaliers,22,Louisville Cardinals,24,,,2023-11-05T00:30:00,FALSE,Atlantic Coast,Atlantic Coast,Virginia Cavaliers vs Louisville Cardinals,Atlantic Coast vs Atlantic Coast
11,West Virginia Mountaineers,107,Oklahoma Sooners,105,,,,FALSE,Big 12,Big 12,West Virginia Mountaineers vs Oklahoma Sooners,Big 12 vs Big 12
11,Oklahoma State Cowboys,113,UCF Knights,8,,,,FALSE,Big 12,Big 12,Oklahoma State Cowboys vs UCF Knights,Big 12 vs Big 12
11,Texas Tech Red Raiders,111,Kansas Jayhawks,106,,,,FALSE,Big 12,Big 12,Texas Tech Red Raiders vs Kansas Jayhawks,Big 12 vs Big 12
11,Baylor Bears,108,Kansas State Wildcats,112,,,,FALSE,Big 12,Big 12,Baylor Bears vs Kansas State Wildcats,Big 12 vs Big 12
11,Cincinnati Bearcats,4,Houston Cougars,6,,,,FALSE,Big 12,Big 12,Cincinnati Bearcats vs Houston Cougars,Big 12 vs Big 12
11,Iowa State Cyclones,110,BYU Cougars,336,,,,FALSE,Big 12,Big 12,Iowa State Cyclones vs BYU Cougars,Big 12 vs Big 12
11,Texas Longhorns,109,TCU Horned Frogs,114,,,,FALSE,Big 12,Big 12,Texas Longhorns vs TCU Horned Frogs,Big 12 vs Big 12
11,East Carolina Pirates,9,Florida Atlantic Owls,145,,,,FALSE,American Athletic,American Athletic,East Carolina Pirates vs Florida Atlantic Owls,American Athletic vs American Athletic
11,UAB Blazers,134,Navy Midshipmen,258,,,2023-11-06T20:30:00,FALSE,American Athletic,American Athletic,UAB Blazers vs Navy Midshipmen,American Athletic vs American Athletic
11,Memphis Tigers,7,Charlotte 49ers,142,,,,FALSE,American Athletic,American Athletic,Memphis Tigers vs Charlotte 49ers,American Athletic vs American Athletic
11,North Texas Mean Green,141,SMU Mustangs,1,,,2023-11-06T02:00:00,FALSE,American Athletic,American Athletic,North Texas Mean Green vs SMU Mustangs,American Athletic vs American Athletic
11,Rice Owls,146,UTSA Roadrunners,147,,,,FALSE,American Athletic,American Athletic,Rice Owls vs UTSA Roadrunners,American Athletic vs American Athletic
11,Tulsa Golden Hurricane,5,Tulane Green Wave,10,,,,FALSE,American Athletic,American Athletic,Tulsa Golden Hurricane vs Tulane Green Wave,American Athletic vs American Athletic
11,Temple Owls,2,South Florida Bulls,11,,,,FALSE,American Athletic,American Athletic,Temple Owls vs South Florida Bulls,American Athletic vs American Athletic
11,Appalachian State Mountaineers,331,Georgia State Panthers,328,,,,FALSE,Sun Belt - East,Sun Belt - East,Appalachian State Mountaineers vs Georgia State Panthers,Sun Belt - East vs Sun Belt - East
11,Troy Trojans,333,UL Monroe Warhawks,326,,,,FALSE,Sun Belt - West,Sun Belt - West,Troy Trojans vs UL Monroe Warhawks,Sun Belt - West vs Sun Belt - West
11,Georgia Southern Eagles,329,Marshall Thundering Herd,136,,,,FALSE,Sun Belt - East,Sun Belt - East,Georgia Southern Eagles vs Marshall Thundering Herd,Sun Belt - East vs Sun Belt - East
11,Southern Miss Golden Eagles,143,Louisiana Ragin Cajuns,324,,,2023-11-05T00:30:00,FALSE,Sun Belt - West,Sun Belt - West,Southern Miss Golden Eagles vs Louisiana Ragin Cajuns,Sun Belt - West vs Sun Belt - West
11,Texas State Bobcats,332,Coastal Carolina Chanticleers,81,,,,FALSE,Sun Belt - West,Sun Belt - East,Texas State Bobcats vs Coastal Carolina Chanticleers,Sun Belt - West vs Sun Belt - East
11,Arkansas State Red Wolves,327,South Alabama Jaguars,330,,,2023-11-06T22:00:00,FALSE,Sun Belt - West,Sun Belt - West,Arkansas State Red Wolves vs South Alabama Jaguars,Sun Belt - West vs Sun Belt - West
11,Akron Zips,177,Miami (OH) RedHawks,182,,,,FALSE,Mid-American - East,Mid-American - East,Akron Zips vs Miami (OH) RedHawks,Mid-American - East vs Mid-American - East
11,Ohio Bobcats,180,Buffalo Bulls,179,,,,FALSE,Mid-American - East,Mid-American - East,Ohio Bobcats vs Buffalo Bulls,Mid-American - East vs Mid-American - East
11,Bowling Green Falcons,181,Kent State Golden Flashes,178,,,,FALSE,Mid-American - East,Mid-American - East,Bowling Green Falcons vs Kent State Golden Flashes,Mid-American - East vs Mid-American - East
11,Ball State Cardinals,184,Northern Illinois Huskies,186,,,,FALSE,Mid-American - West,Mid-American - West,Ball State Cardinals vs Northern Illinois Huskies,Mid-American - West vs Mid-American - West
11,Eastern Michigan Eagles,187,Toledo Rockets,183,,,,FALSE,Mid-American - West,Mid-American - West,Eastern Michigan Eagles vs Toledo Rockets,Mid-American - West vs Mid-American - West
11,Central Michigan Chippewas,185,Western Michigan Broncos,188,,,2023-11-03T00:30:00,FALSE,Mid-American - West,Mid-American - West,Central Michigan Chippewas vs Western Michigan Broncos,Mid-American - West vs Mid-American - West
11,Fresno State Bulldogs,213,San Jose State Spartans,222,,,2023-11-07T03:30:00,FALSE,Mountain West,Mountain West,Fresno State Bulldogs vs San Jose State Spartans,Mountain West vs Mountain West
11,Wyoming Cowboys,219,UNLV Rebels,218,,,2023-11-06T03:45:00,FALSE,Mountain West,Mountain West,Wyoming Cowboys vs UNLV Rebels,Mountain West vs Mountain West
11,Nevada Wolf Pack,216,Utah State Aggies,220,,,2023-11-06T20:00:00,FALSE,Mountain West,Mountain West,Nevada Wolf Pack vs Utah State Aggies,Mountain West vs Mountain West
11,San Diego State Aztecs,212,Colorado State Rams,217,,,2023-11-07T00:00:00,FALSE,Mountain West,Mountain West,San Diego State Aztecs vs Colorado State Rams,Mountain West vs Mountain West
11,Air Force Falcons,221,Hawaii Rainbow Warriors,115,,,2023-11-07T04:00:00,FALSE,Mountain West,Mountain West,Air Force Falcons vs Hawaii Rainbow Warriors,Mountain West vs Mountain West
11,New Mexico Lobos,214,Boise State Broncos,215,,,,FALSE,Mountain West,Mountain West,New Mexico Lobos vs Boise State Broncos,Mountain West vs Mountain West
12,Michigan Wolverines,95,Maryland Terrapins,92,,,,FALSE,Big Ten - East,Big Ten - East,Michigan Wolverines vs Maryland Terrapins,Big Ten - East vs Big Ten - East
12,Florida Gators,271,Missouri Tigers,280,,,,FALSE,SEC - East,SEC - East,Florida Gators vs Missouri Tigers,SEC - East vs SEC - East
12,UL Monroe Warhawks,326,Ole Miss Rebels,274,,,,FALSE,Sun Belt - West,SEC - West,UL Monroe Warhawks vs Ole Miss Rebels,Sun Belt - West vs SEC - West
12,Minnesota Golden Gophers,104,Ohio State Buckeyes,98,,,,FALSE,Big Ten - West,Big Ten - East,Minnesota Golden Gophers vs Ohio State Buckeyes,Big Ten - West vs Big Ten - East
12,New Mexico State Aggies,344,Auburn Tigers,279,,,,FALSE,Conference USA,SEC - West,New Mexico State Aggies vs Auburn Tigers,Conference USA vs SEC - West
12,Rutgers Scarlet Knights,103,Penn State Nittany Lions,101,,,,FALSE,Big Ten - East,Big Ten - East,Rutgers Scarlet Knights vs Penn State Nittany Lions,Big Ten - East vs Big Ten - East
12,Illinois Fighting Illini,102,Iowa Hawkeyes,91,,,,FALSE,Big Ten - West,Big Ten - West,Illinois Fighting Illini vs Iowa Hawkeyes,Big Ten - West vs Big Ten - West
12,UMass Minutemen,55,Liberty Flames,84,,,2023-11-18T18:00:00,FALSE,FBS Independents,Conference USA,UMass Minutemen vs Liberty Flames,FBS Independents vs Conference USA
12,UTEP Miners,139,Middle Tennessee Blue Raiders,135,,,2023-11-18T19:00:00,FALSE,Conference USA,Conference USA,UTEP Miners vs Middle Tennessee Blue Raiders,Conference USA vs Conference USA
12,Abilene Christian Wildcats,296,Texas A&M Aggies,270,,,2023-11-18T17:00:00,FALSE,,SEC - West,Abilene Christian Wildcats vs Texas A&M Aggies,Unknown
12,Kentucky Wildcats,268,South Carolina Gamecocks,267,,,,FALSE,SEC - East,SEC - East,Kentucky Wildcats vs South Carolina Gamecocks,SEC - East vs SEC - East
12,Georgia Bulldogs,272,Tennessee Volunteers,277,,,,FALSE,SEC - East,SEC - East,Georgia Bulldogs vs Tennessee Volunteers,SEC - East vs SEC - East
12,Nebraska Cornhuskers,99,Wisconsin Badgers,96,,,,FALSE,Big Ten - West,Big Ten - West,Nebraska Cornhuskers vs Wisconsin Badgers,Big Ten - West vs Big Ten - West
12,Chattanooga Mocs,281,Alabama Crimson Tide,275,,,2023-11-18T17:00:00,FALSE,,SEC - West,Chattanooga Mocs vs Alabama Crimson Tide,Unknown
12,Southern Miss Golden Eagles,143,Mississippi State Bulldogs,278,,,2023-11-18T17:00:00,FALSE,Sun Belt - West,SEC - West,Southern Miss Golden Eagles vs Mississippi State Bulldogs,Sun Belt - West vs SEC - West
12,Coastal Carolina Chanticleers,81,Army Black Knights,263,,,2023-11-18T17:00:00,FALSE,Sun Belt - East,FBS Independents,Coastal Carolina Chanticleers vs Army Black Knights,Sun Belt - East vs FBS Independents
12,Sacred Heart Pioneers,227,UConn Huskies,3,,,2023-11-18T17:00:00,FALSE,,FBS Independents,Sacred Heart Pioneers vs UConn Huskies,Unknown
